record,name,cpf,address,birthday,Gluconise,H2B4,H356,HB_A56,Adrino_posina,Gamma_R,Nitro_K,H278,Positron_L,Plate,Factor_risk,norm_gamma_type,Blood_type,Blood_Rh,Low_Risk,Medium_Risk,High_Risk
98539,Miguel Campos,51832697428,"Residencial Maysa Sales, 927
Funcionários
54148384 Fernandes de Goiás / PB",2011-10-05,1324.8690727326484,181.21726818316208,331.2172681831621,98.73036090989726,Clinical Done,2,3.0396058372591854,5418.558372591854,27.896058372591853,,5,1,AB,-,True,False,False
77708,Cauã Sales,24738519050,"Vila Duarte
Vila Antena
47878550 Nascimento de Duarte / ES",2003-02-06,877.6487172699849,69.41217931749622,219.41217931749622,98.73036090989726,Uncovered,2,3.7741252530133043,12763.752530133042,35.24125253013304,X,6,0,B,+,True,False,False
5192,Lorena Nascimento,76184293591,"Estrada Sales, 484
Vila Santa Monica 1ª Seção
20741-497 Peixoto / TO",2020-02-01,894.3656495473089,73.59141238682722,223.59141238682722,129.97381454652967,Capsuled,4,2.5001143813586433,23.64381358643086,22.50114381358643,B,0,0,A,+,False,True,False
98047,Caio Rodrigues,94712036516,"Recanto de da Rosa, 11
Brasil Industrial
98285508 Caldeira da Praia / BA",2017-05-12,785.4062755687659,46.35156889219147,196.35156889219147,98.73036090989726,Uncovered,3,2.860012754853919,3622.62754853919,26.10012754853919,CS,4,1,,+,True,False,False
50057,João Pedro Pinto,92731850612,"Favela de Ribeiro, 14
Independência
22878-001 Vieira / AC",2003-07-07,1173.0815258649357,143.2703814662339,293.2703814662339,98.73036090989726,Clinical Done,4,2.658709595194674,1609.595951946739,24.08709595194674,X,3,0,O,+,True,False,False
73349,Sophie Almeida,72495861067,"Lago Beatriz Castro
Das Industrias I
47553696 da Conceição da Serra / SE",2020-08-19,539.6922606239434,-15.076934844014133,134.92306515598585,129.97381454652967,Clinical Done,7,2.5968838716537332,991.3387165373346,23.468838716537334,,3,1,AB,+,False,True,False
21440,Sra. Emanuelly Dias,4593821606,"Trevo de Lima, 28
Santa Amelia
06581-951 Martins / RJ",2018-12-07,1348.962352843296,187.240588210824,337.240588210824,98.73036090989726,Capsuled,3,2.7061146340820805,2083.646340820805,24.561146340820805,A,4,1,A,+,True,False,False
98448,Ana Lívia Lopes,60547932847,"Passarela Nicolas Sales, 8
Vila São Dimas
91724-042 Teixeira / BA",2000-03-17,847.7586198209794,61.93965495524486,211.93965495524486,129.97381454652967,Covered,6,2.923976481807075,4262.264818070748,26.739764818070746,DD,4,1,AB,-,False,True,False
20609,Anthony Araújo,57931682068,"Morro de Dias, 10
Vila Boa Vista
22619968 Martins / MA",2013-03-04,1063.8078192114197,115.95195480285493,265.9519548028549,98.73036090989726,Covered,6,3.0054525417107483,5077.025417107485,27.554525417107484,CS,5,0,B,-,True,False,False
49100,Maria Cecília Alves,61823405762,"Trevo de da Conceição, 7
Vila Pilar
01134281 Duarte / PB",2005-07-02,950.125924904518,87.5314812261295,237.5314812261295,129.97381454652967,Covered,4,3.2739597748607574,7762.097748607573,30.239597748607572,DD,5,1,A,+,False,True,False
7751,Nina da Rosa,68714259346,"Alameda Eduarda Santos, 236
Jardim Alvorada
06400-493 Teixeira / SE",2010-10-17,1292.4215874089948,173.1053968522487,323.1053968522487,129.97381454652967,Capsuled,4,3.043339370618245,5455.893706182451,27.93339370618245,B,5,0,A,-,False,True,False
43757,Rebeca Araújo,4621539833,"Praça Gustavo Henrique Costela, 85
Beira Linha
35527-840 Cardoso / AL",2018-04-25,587.9718581004693,-3.0070354748826986,146.99296452511732,111.24345363663241,Clinical Done,4,3.6558797097094224,11581.297097094222,34.05879709709422,B,6,1,O,+,False,True,True
31228,Clarice Pires,16542983015,"Fazenda Carvalho
Buraco Quente
47634347 Gonçalves / SP",2020-09-26,935.5165591972985,83.87913979932463,233.87913979932463,111.24345363663241,,3,2.72872440752683,2309.7440752683033,24.787244075268305,B,4,1,B,+,False,True,True
36230,Maria Clara Dias,69142730570,"Aeroporto Moreira, 13
Pongelupe
08409161 Ramos Paulista / RO",2001-11-26,923.1891290663168,80.79728226657922,230.7972822665792,98.73036090989726,Clinical Done,7,4.604697291207805,21069.472912078054,43.546972912078054,CS,7,0,,+,True,False,False
97561,Sr. Renan das Neves,51098724658,"Morro Marcos Vinicius Moura, 21
Estoril
01978-537 Cardoso do Sul / PA",2013-06-09,1226.7538884670876,156.68847211677186,306.6884721167719,98.73036090989726,,8,2.5277696247684234,300.19624768423347,22.777696247684233,B,2,1,O,+,True,False,False
21758,Evelyn Aragão,2345916761,"Conjunto de Pinto, 78
Cinquentenário
88938093 Gonçalves do Sul / AP",2004-10-15,780.0217465371938,45.005436634298455,195.00543663429846,129.97381454652967,Capsuled,8,3.6100803264966324,11123.303264966326,33.60080326496632,CS,6,1,AB,+,False,True,False
45413,Maria Eduarda Castro,78923061450,"Trecho de Barros, 60
Urca
08361067 Teixeira do Campo / MT",2007-05-29,965.5143584899129,91.37858962247822,241.37858962247822,98.73036090989726,Clinical Done,7,3.040091046444429,5423.410464444293,27.900910464444294,CS,5,0,AB,+,True,False,False
35730,Pedro Lucas Gonçalves,15436289070,"Vila Gabriel Correia, 7
Conjunto Celso Machado
78878125 Farias Grande / MS",2017-10-19,824.4283164157257,56.10707910393141,206.10707910393143,129.97381454652967,Uncovered,7,3.3180073139030375,8202.573139030377,30.680073139030377,CS,5,1,,-,False,True,False
51668,Vinicius Melo,76935804175,"Vila Eduarda Fernandes, 11
Barreiro
18895741 Campos / SP",2009-03-17,1008.4427493431185,102.11068733577964,252.11068733577963,98.73036090989726,Capsuled,7,2.6512729195819356,1535.2291958193562,24.012729195819357,X,3,0,O,-,True,False,False
64395,Dra. Lívia Pereira,86791325003,"Sítio de Correia, 29
Calafate
01761-625 Fernandes de Oliveira / DF",2017-02-10,1116.5630427431645,129.14076068579112,279.1407606857911,98.73036090989726,Clinical Done,5,2.7207732241167304,2230.2322411673026,24.707732241167303,X,4,1,O,+,True,False,False
8444,Natália da Mota,19072384504,"Esplanada Rebeca Silveira
Conjunto Paulo Vi
61991097 da Cruz / RO",2011-09-23,779.8761645574158,44.96904113935394,194.96904113935395,129.97381454652967,Uncovered,1,4.11316770284035,16154.177028403505,38.6316770284035,B,6,1,A,+,False,True,False
19946,Gustavo Henrique Sales,53102689795,"Loteamento da Paz
Vale Do Jatoba
59394436 Fogaça / PB",2018-06-15,1228.9447419679227,157.2361854919807,307.2361854919807,129.97381454652967,Uncovered,5,5.950227209709702,34524.772097097026,57.00227209709703,X,8,0,B,+,False,True,False
57245,Julia Azevedo,8197346593,"Vale Carvalho
Xodo-Marize
39753589 Jesus / MT",2000-01-10,1180.318144118559,145.07953602963977,295.07953602963977,98.73036090989726,Clinical Done,4,2.87603861290897,3782.8861290897016,26.260386129089703,,4,0,O,+,True,False,False
88462,Elisa Nunes,51097432823,"Morro Lorena Cardoso, 72
Fernão Dias
08254550 da Rosa / BA",2005-08-14,1100.4988677803735,125.12471694509341,275.1247169450934,98.73036090989726,Clinical Done,7,3.6787034984431246,11809.534984431248,34.287034984431244,B,6,0,,-,True,False,False
92740,Natália da Luz,81402679378,"Vila de Moura, 2
Ápia
59509683 Caldeira / TO",2014-06-25,1180.1711898528824,145.04279746322058,295.0427974632206,98.73036090989726,Capsuled,2,4.590616973214474,20928.669732144743,43.40616973214474,DD,7,0,,+,True,False,False
31959,Dr. Bryan Pires,32975146809,"Loteamento de Barbosa, 128
Santa Inês
86217681 Jesus / SP",2009-02-07,863.2544281651334,65.81360704128335,215.81360704128335,98.73036090989726,,4,4.750055865972534,22523.05865972534,45.00055865972534,B,7,1,AB,+,True,False,False
90071,Maitê Cavalcanti,45796018310,"Aeroporto Nunes, 94
Prado
37690-534 Oliveira / RN",2017-06-26,975.4219548962703,93.85548872406758,243.85548872406758,129.97381454652967,Uncovered,4,2.5888795333109047,911.2953331090478,23.388795333109048,DD,3,0,A,+,False,True,False
19433,Luiz Henrique Novaes,86397214087,"Sítio de Gonçalves
Maravilha
57777169 Costela / GO",2009-10-26,812.8461131481863,53.21152828704656,203.21152828704658,98.73036090989726,Uncovered,7,2.5398378781226056,420.8787812260575,22.898378781226057,B,2,1,,-,True,False,False
