record,name,cpf,address,birthday,Gluconise,H2B4,H356,HB_A56,Adrino_posina,Gamma_R,Nitro_K,H278,Positron_L,Plate,Factor_risk,norm_gamma_type,Blood_type,Blood_Rh,Low_Risk,Medium_Risk,High_Risk
71530,Nicolas Viana,61723940887,"Trecho Souza, 578
Tirol
58107517 Lopes / GO",2007-08-05,1357.7257,189.43,339.43,103.66,Clinical Done,6,3.3,8025.32,30.5028,B,5,0,,+,True,False,False
67224,João Lucas Ribeiro,87160923413,"Sítio Cauê Jesus, 41
Mantiqueira
17180-556 Rocha da Praia / PE",2014-05-14,1087.302,121.83,271.83,136.55,Covered,2,3.73,12337.58,34.8151,X,6,0,,+,False,True,False
77049,Maria Luiza Campos,76094835166,"Estação Ana Laura Monteiro, 123
Camponesa 1ª Seção
93097-067 Nunes / MS",2006-01-15,1019.2995,104.82,254.82,112.89,Uncovered,3,2.84,3460.15,25.9377,DD,4,0,AB,+,False,True,True
59011,Alana Ribeiro,61537409875,"Lagoa de Ferreira, 990
Vila Maloca
45796-521 Pires / TO",2012-02-22,627.3015,6.83,156.83,136.55,Uncovered,3,3.22,7172.9,29.6504,CS,5,0,B,+,False,True,False
48056,Marcos Vinicius Dias,15879246337,"Viela Caldeira, 66
Boa Esperança
33537-049 Gonçalves do Campo / PR",2000-11-15,944.5224,86.13,236.13,103.66,Clinical Done,5,4.73,22366.81,44.8443,,7,1,AB,+,True,False,False
91080,Theo Ribeiro,34697150252,"Aeroporto de Viana, 61
Ambrosina
95133355 Nogueira Verde / AC",2010-07-02,929.0482,82.26,232.26,103.66,Clinical Done,8,4.77,22684.37,45.1619,,7,1,O,+,True,False,False
25365,Maria Clara Ribeiro,35721408979,"Distrito de da Rosa, 34
Vila Madre Gertrudes 3ª Seção
43172118 Duarte Verde / ES",2001-12-09,983.4517,95.86,245.86,136.55,Clinical Done,5,2.63,1364.51,23.842,B,3,0,O,-,False,True,False
11261,Maysa da Costa,36801495739,"Trevo Novaes, 9
Conjunto Lagoa
05867-798 Castro / AC",2020-07-18,874.5999,68.65,218.65,103.66,Clinical Done,4,2.73,2344.88,24.8224,CS,4,1,A,+,True,False,False
84627,Pedro Miguel da Costa,69372108413,"Residencial Camila Freitas, 304
Vila Madre Gertrudes 2ª Seção
14542-209 Rezende / SC",2005-05-16,991.2364,97.81,247.81,103.66,Uncovered,6,2.55,550.89,23.0284,B,2,0,O,+,True,False,False
95946,Joana Alves,50137428979,"Praia de Araújo, 67
Barreiro
08325-920 Cavalcanti / GO",2008-09-12,904.5564,76.14,226.14,103.66,Clinical Done,3,3.08,5835.16,28.3127,,5,0,O,+,True,False,False
43883,Stephany Campos,24937150804,"Fazenda Barbosa, 60
Goiania
31135-050 Farias Alegre / SC",2020-07-18,737.227,34.31,184.31,112.89,,8,2.53,325.82,22.8033,X,2,1,,+,False,True,True
23545,Vitor Hugo Barbosa,29510876402,"Condomínio Souza, 16
Vila Cloris
89056-816 Jesus da Prata / MT",2001-05-17,1176.9245,144.23,294.23,136.55,Capsuled,3,3.11,6125.89,28.6034,B,5,1,O,+,False,True,False
50857,Yago Araújo,64187952373,"Ladeira da Cruz, 2
Antonio Ribeiro De Abreu 1ª Seção
96890-210 Pereira / AP",2023-05-11,1176.2636,144.07,294.07,103.66,Clinical Done,7,3.55,10496.3,32.9738,DD,6,1,B,+,True,False,False
62583,Lucas Nogueira,60781453208,"Ladeira Maysa Nascimento, 7
Lourdes
28492-559 Cardoso da Praia / MA",2011-01-06,1341.9146,185.48,335.48,112.89,Uncovered,2,2.83,3286.55,25.7641,DD,4,0,AB,+,False,True,True
64934,Sra. Julia Pires,7913854260,"Trevo Carlos Eduardo Ferreira, 6
Boa União 2ª Seção
22459510 da Rosa / BA",2020-05-24,1010.0067,102.5,252.5,136.55,Uncovered,3,3.63,11300.49,33.778,,6,1,B,+,False,True,False
59872,João Guilherme Castro,40596217307,"Esplanada Aragão, 8
Ernesto Nascimento
11793072 Cavalcanti / AL",2022-04-01,919.0645,79.77,229.77,103.66,Uncovered,12,3.39,8959.55,31.437,CS,5,1,O,+,True,False,False
64093,Daniel Sales,31786905221,"Alameda Bryan Pereira
Calafate
37995-916 Novaes do Amparo / AL",2013-05-14,890.928,72.73,222.73,136.55,Covered,4,2.52,265.24,22.7427,DD,2,1,A,+,False,True,False
66983,Francisco Pinto,68510493251,"Vereda de Oliveira, 811
Bela Vitoria
42304-009 Pinto / PR",2006-12-29,690.7045,22.68,172.68,103.66,Uncovered,9,3.32,8206.3,30.6838,A,5,0,AB,+,True,False,False
72078,Fernanda Peixoto,69210834542,"Travessa da Rocha, 3
Granja Werneck
48887-464 Barbosa do Oeste / MT",2015-01-18,1196.4735,149.12,299.12,136.55,Uncovered,3,2.8,3023.45,25.501,DD,4,0,B,+,False,True,False
19960,Joana Monteiro,74315208914,"Sítio Gabriel Aragão, 99
Ouro Preto
25633-703 Rodrigues das Pedras / AL",2008-02-19,779.7865,44.95,194.95,136.55,Capsuled,4,3.04,5385.66,27.8632,DD,5,1,AB,-,False,True,False
3610,Maria Luiza Oliveira,62987503474,"Feira Daniel Rodrigues, 5
Santa Helena
26400657 Teixeira de Cunha / TO",2015-04-21,762.9907,40.75,190.75,103.66,Clinical Done,7,2.83,3356.62,25.8341,DD,4,0,O,+,True,False,False
61777,Daniela Mendes,87129340541,"Fazenda Cauã da Costa, 66
Conjunto Jardim Filadélfia
09952346 da Conceição / GO",2005-07-18,958.87,89.72,239.72,103.66,Covered,1,3.68,11836.07,34.3136,X,6,0,AB,-,True,False,False
99802,Alice Freitas,97435820105,"Residencial Araújo, 16
Santa Efigênia
53718822 Almeida / RS",2002-06-15,1297.2297,174.31,324.31,103.66,Clinical Done,4,3.08,5828.79,28.3063,CS,5,1,,+,True,False,False
68246,Natália da Cruz,13846075280,"Condomínio de Viana, 31
Novo Ouro Preto
81659993 da Cunha / PB",2006-12-17,1047.3433,111.84,261.84,136.55,Clinical Done,4,2.67,1728.81,24.2063,X,3,1,O,+,False,True,False
90946,Sra. Maria Cecília Cavalcanti,26498350105,"Jardim Ribeiro, 891
Santa Tereza
07848-873 Cardoso Paulista / MS",2007-05-04,795.243,48.81,198.81,112.89,Clinical Done,7,3.29,7889.37,30.3669,DD,5,0,AB,+,False,True,True
51458,Dra. Clara Fogaça,25709136425,"Parque Ana Luiza das Neves, 40
Vila Petropolis
26760580 da Rosa de Goiás / MG",2016-08-04,857.4014,64.35,214.35,136.55,,5,4.02,15178.1,37.6556,A,6,1,O,-,False,True,False
8127,Cauã Campos,68592310768,"Chácara da Cunha, 468
Santa Cruz
47328-660 Castro / RR",2003-07-30,1125.049,131.26,281.26,136.55,Capsuled,9,2.87,3680.57,26.1581,CS,4,0,O,-,False,True,False
78465,Maysa Rocha,57402138607,"Alameda de Dias, 83
Alto Dos Pinheiros
59192638 da Mata de Minas / ES",2008-10-29,967.8973,91.97,241.97,103.66,Capsuled,4,2.75,2532.25,25.0097,DD,4,0,O,+,True,False,False
69555,João Felipe Campos,32695810768,"Travessa de Costa, 47
Teixeira Dias
92523-703 Carvalho do Sul / SP",2013-09-02,846.2327,61.56,211.56,103.66,Uncovered,6,2.99,4932.26,27.4098,B,5,0,B,-,True,False,False
66394,Brenda Aragão,72164589319,"Lagoa Cardoso
Pantanal
84906300 Cardoso / AM",2016-07-27,953.9939,88.5,238.5,112.89,Capsuled,10,5.25,27571.35,50.0488,DD,7,1,O,+,False,True,True
24133,Kevin Peixoto,54208397179,"Via de Silva
Monte São José
27200-261 Aragão / SP",2011-03-04,1149.0113,137.25,287.25,136.55,Capsuled,3,6.23,37317.61,59.7951,,8,0,A,+,False,True,False
72552,Augusto Barbosa,23570196461,"Ladeira Carvalho, 47
Graça
90915-938 Santos / PA",2014-05-15,1395.2222,198.81,348.81,103.66,Uncovered,4,3.62,11181.62,33.6591,X,6,1,O,+,True,False,False
